INFO 2025-09-05 15:43:58,656 autoreload 16672 17004 Watching for file changes with StatReloader
WARNING 2025-09-05 15:44:00,921 log 16672 11272 Unauthorized: /api/notifications/
WARNING 2025-09-05 15:44:00,926 basehttp 16672 11272 "GET /api/notifications/?limit=5 HTTP/1.1" 401 183
WARNING 2025-09-05 15:44:01,004 log 16672 9784 Unauthorized: /api/notifications/
WARNING 2025-09-05 15:44:01,019 basehttp 16672 9784 "GET /api/notifications/?limit=5 HTTP/1.1" 401 183
INFO 2025-09-05 15:44:01,025 basehttp 16672 8168 "GET /api/orders/admin/ HTTP/1.1" 200 2936
WARNING 2025-09-05 15:44:01,033 log 16672 9784 Unauthorized: /api/notifications/
WARNING 2025-09-05 15:44:01,035 basehttp 16672 9784 "GET /api/notifications/?limit=5 HTTP/1.1" 401 183
WARNING 2025-09-05 15:44:01,057 log 16672 8168 Unauthorized: /api/notifications/
WARNING 2025-09-05 15:44:01,077 basehttp 16672 8168 "GET /api/notifications/?limit=5 HTTP/1.1" 401 183
INFO 2025-09-05 15:44:01,168 basehttp 16672 9784 "GET /api/orders/admin/ HTTP/1.1" 200 2936
INFO 2025-09-05 15:44:01,286 basehttp 16672 11272 "GET /api/products/ HTTP/1.1" 200 5316
INFO 2025-09-05 15:44:01,523 basehttp 16672 9784 "GET /api/products/ HTTP/1.1" 200 5316
WARNING 2025-09-05 15:44:01,634 log 16672 11272 Unauthorized: /api/notifications/
INFO 2025-09-05 15:44:01,635 basehttp 16672 9784 "GET /api/admin/customers/ HTTP/1.1" 200 225
WARNING 2025-09-05 15:44:01,640 basehttp 16672 11272 "GET /api/notifications/?limit=5 HTTP/1.1" 401 183
WARNING 2025-09-05 15:44:01,682 log 16672 11272 Unauthorized: /api/notifications/
INFO 2025-09-05 15:44:01,707 basehttp 16672 8168 "GET /api/admin/customers/ HTTP/1.1" 200 225
WARNING 2025-09-05 15:44:01,707 basehttp 16672 11272 "GET /api/notifications/?limit=5 HTTP/1.1" 401 183
WARNING 2025-09-05 15:44:05,780 log 16672 11272 Unauthorized: /api/notifications/
WARNING 2025-09-05 15:44:05,790 basehttp 16672 11272 "GET /api/notifications/?limit=5 HTTP/1.1" 401 183
WARNING 2025-09-05 15:44:05,803 log 16672 11272 Unauthorized: /api/notifications/
WARNING 2025-09-05 15:44:05,808 basehttp 16672 11272 "GET /api/notifications/?limit=5 HTTP/1.1" 401 183
INFO 2025-09-05 15:44:05,834 basehttp 16672 8168 "GET /api/orders/admin/ HTTP/1.1" 200 2936
INFO 2025-09-05 15:44:05,890 basehttp 16672 11272 "GET /api/orders/admin/ HTTP/1.1" 200 2936
INFO 2025-09-05 15:44:07,450 basehttp 16672 11272 "POST /api/token/verify/ HTTP/1.1" 200 2
INFO 2025-09-05 15:44:07,450 basehttp 16672 8168 "POST /api/token/verify/ HTTP/1.1" 200 2
INFO 2025-09-05 15:44:07,489 basehttp 16672 11272 "GET /api/notifications/ HTTP/1.1" 200 233
WARNING 2025-09-05 15:44:07,494 log 16672 8168 Unauthorized: /api/notifications/
WARNING 2025-09-05 15:44:07,510 basehttp 16672 8168 "GET /api/notifications/?limit=5 HTTP/1.1" 401 183
INFO 2025-09-05 15:44:07,532 basehttp 16672 11272 "GET /api/notifications/unread-count/ HTTP/1.1" 200 11
WARNING 2025-09-05 15:44:07,547 log 16672 8168 Unauthorized: /api/notifications/
INFO 2025-09-05 15:44:07,562 basehttp 16672 9784 "GET /api/notifications/ HTTP/1.1" 200 233
WARNING 2025-09-05 15:44:07,616 basehttp 16672 8168 "GET /api/notifications/?limit=5 HTTP/1.1" 401 183
INFO 2025-09-05 15:44:13,533 basehttp 16672 8168 "OPTIONS /api/admin_token/verify/ HTTP/1.1" 200 0
INFO 2025-09-05 15:44:13,543 basehttp 16672 9784 "OPTIONS /api/admin_token/verify/ HTTP/1.1" 200 0
WARNING 2025-09-05 15:44:13,758 log 16672 9784 Not Found: /api/admin_token/verify/
WARNING 2025-09-05 15:44:13,766 log 16672 8168 Not Found: /api/admin_token/verify/
WARNING 2025-09-05 15:44:13,767 basehttp 16672 9784 "POST /api/admin_token/verify/ HTTP/1.1" 404 16411
WARNING 2025-09-05 15:44:13,770 basehttp 16672 8168 "POST /api/admin_token/verify/ HTTP/1.1" 404 16411
INFO 2025-09-05 15:44:13,779 basehttp 16672 9784 "OPTIONS /api/admin_token/refresh/ HTTP/1.1" 200 0
INFO 2025-09-05 15:44:13,781 basehttp 16672 8168 "OPTIONS /api/admin_token/refresh/ HTTP/1.1" 200 0
WARNING 2025-09-05 15:44:13,815 log 16672 8168 Not Found: /api/admin_token/refresh/
WARNING 2025-09-05 15:44:13,841 log 16672 9784 Not Found: /api/admin_token/refresh/
WARNING 2025-09-05 15:44:13,843 basehttp 16672 8168 "POST /api/admin_token/refresh/ HTTP/1.1" 404 16414
WARNING 2025-09-05 15:44:13,843 basehttp 16672 9784 "POST /api/admin_token/refresh/ HTTP/1.1" 404 16414
INFO 2025-09-05 15:44:24,702 basehttp 16672 9784 "POST /api/admin_token/ HTTP/1.1" 200 502
INFO 2025-09-05 15:44:25,820 basehttp 16672 9784 "GET /api/admin/dashboard-stats/ HTTP/1.1" 200 77
WARNING 2025-09-05 15:44:25,831 log 16672 8168 Unauthorized: /api/notifications/
WARNING 2025-09-05 15:44:25,848 basehttp 16672 8168 "GET /api/notifications/?limit=5 HTTP/1.1" 401 183
WARNING 2025-09-05 15:44:25,856 log 16672 8168 Unauthorized: /api/notifications/
WARNING 2025-09-05 15:44:25,863 basehttp 16672 8168 "GET /api/notifications/?limit=5 HTTP/1.1" 401 183
INFO 2025-09-05 15:44:25,867 basehttp 16672 11272 "GET /api/admin/dashboard-stats/ HTTP/1.1" 200 77
INFO 2025-09-05 15:44:25,920 basehttp 16672 11272 "GET /api/orders/?limit=5 HTTP/1.1" 200 396
